state,yr,qtr,index_nsa,index_sa
AL,2002,1,148.3,148.14
AL,2002,2,150.21,149.35
AL,2002,3,151.2,150.26
AL,2002,4,153.13,152.92
AL,2003,1,154.08,154.02
AL,2003,2,156.23,155.34
AL,2003,3,159.36,158.24
AL,2003,4,158.92,158.74
AL,2004,1,160.01,160.06
AL,2004,2,163.66,162.68
AL,2004,3,167.27,165.98
AL,2004,4,168.39,168.26
AL,2005,1,171.14,171.34
AL,2005,2,175.15,173.98
AL,2005,3,179.23,177.72
AL,2005,4,182.68,182.68
AL,2006,1,186.81,187.15
AL,2006,2,191.92,190.47
AL,2006,3,195,193.24
AL,2006,4,195.71,195.84
AL,2007,1,197.83,198.38
AL,2007,2,202.22,200.57
AL,2007,3,202.12,200.07
AL,2007,4,200.04,200.29
AL,2008,1,197.9,198.7
AL,2008,2,198.36,196.68
AL,2008,3,195.9,193.59
AL,2008,4,190.44,190.8
AL,2009,1,190.41,191.45
AL,2009,2,192.37,190.69
AL,2009,3,188.11,185.54
AL,2009,4,191.54,192.06
AL,2010,1,182.93,184.15
AL,2010,2,182.43,180.76
AL,2010,3,181.92,179.22
AL,2010,4,174.66,175.27
AL,2011,1,170.28,171.51
AL,2011,2,171.97,170.33
AL,2011,3,173.85,171.18
AL,2011,4,170.38,171.07
AL,2012,1,171.81,173.11
AL,2012,2,178.19,176.35
AL,2012,3,175.16,172.52
AL,2012,4,175.7,176.51
AL,2013,1,176.17,177.42
AL,2013,2,181.48,179.47
AL,2013,3,182.82,180.23
AL,2013,4,179.89,180.77
AL,2014,1,181.06,182.25
AL,2014,2,183.89,181.73
AL,2014,3,185.67,183.25
AL,2014,4,185.07,185.99
AL,2015,1,184.65,185.7
AL,2015,2,191.29,189.03
AL,2015,3,192.11,189.79
AL,2015,4,189.25,190.13
AL,2016,1,191.64,192.59
AL,2016,2,196.65,194.38
AL,2016,3,198.95,196.67
AL,2016,4,197.7,198.65
AL,2017,1,199.05,199.75
AL,2017,2,204.88,202.68
AL,2017,3,207.22,204.96
AL,2017,4,207.37,208.36
AL,2018,1,209.91,210.34
AL,2018,2,216.01,213.9
AL,2018,3,218.85,216.53
AL,2018,4,217.85,218.94
AL,2019,1,222.48,222.57
AL,2019,2,227.21,225.23
AL,2019,3,231.31,228.91
AL,2019,4,232.05,233.29
AL,2020,1,238.6,238.35
AL,2020,2,242.52,240.64
AL,2020,3,250.32,247.7
AL,2020,4,257.77,259.29
AL,2021,1,265.43,264.83
AL,2021,2,281.41,279.47
AL,2021,3,295.3,292.12
AL,2021,4,302.46,304.38
AL,2022,1,316.72,315.79
AL,2022,2,328.99,326.9
AL,2022,3,335.25,331.52
AL,2022,4,333.37,335.58
AL,2023,1,341.23,340.19
AL,2023,2,344.87,342.71
AL,2023,3,354.76,350.74
AR,1991,1,100,100
AR,1991,2,100.24,99.94
AR,1991,3,101.52,101.23
AR,1991,4,103,102.83
AR,1992,1,102.81,102.82
AR,1992,2,103.99,103.64
AR,1992,3,105.1,104.82
AR,1992,4,105.6,105.43
AR,1993,1,107.4,107.41
AR,1993,2,109.51,109.14
AR,1993,3,111.49,111.2
AR,1993,4,111.6,111.43
AR,1994,1,115.1,115.09
AR,1994,2,116.57,116.19
AR,1994,3,117.08,116.78
AR,1994,4,119.12,118.93
AR,1995,1,119.02,119.02
AR,1995,2,121.52,121.12
AR,1995,3,122.79,122.45
AR,1995,4,123.46,123.29
AR,1996,1,124.03,124.03
AR,1996,2,125.77,125.33
AR,1996,3,125.33,124.98
AR,1996,4,125.81,125.65
AR,1997,1,127.33,127.36
AR,1997,2,127.99,127.51
AR,1997,3,128.29,127.93
AR,1997,4,129.39,129.23
AR,1998,1,129.14,129.18
AR,1998,2,129.78,129.3
AR,1998,3,132.15,131.75
AR,1998,4,132.49,132.35
AR,1999,1,133.86,133.91
AR,1999,2,135.2,134.71
AR,1999,3,136.13,135.68
AR,1999,4,136.68,136.54
AR,2000,1,136.94,136.99
AR,2000,2,139.7,139.25
AR,2000,3,139.96,139.44
AR,2000,4,140.86,140.71
AR,2001,1,142.61,142.69
AR,2001,2,143.67,143.24
AR,2001,3,145.45,144.85
AR,2001,4,145.96,145.78
AR,2002,1,146.82,146.99
AR,2002,2,149.77,149.3
AR,2002,3,151.07,150.39
AR,2002,4,152.44,152.22
AR,2003,1,154.07,154.38
AR,2003,2,156.81,156.28
AR,2003,3,159.96,159.17
AR,2003,4,161,160.8
AR,2004,1,164.04,164.45
AR,2004,2,167.56,166.95
AR,2004,3,170.13,169.23
AR,2004,4,172.69,172.5
AR,2005,1,174.65,175.16
AR,2005,2,178.05,177.33
AR,2005,3,182.08,181.11
AR,2005,4,185.18,185.08
AR,2006,1,186.33,186.79
AR,2006,2,189.98,189.17
AR,2006,3,191.7,190.71
AR,2006,4,192.37,192.32
AR,2007,1,191.87,192.31
AR,2007,2,195.32,194.37
AR,2007,3,195.47,194.55
AR,2007,4,193.36,193.46
AR,2008,1,189.41,189.7
AR,2008,2,189.3,188.33
AR,2008,3,189.07,188.18
AR,2008,4,184.7,184.97
AR,2009,1,183.88,184.11
AR,2009,2,184.33,183.25
AR,2009,3,184.41,183.54
AR,2009,4,187.37,187.86
AR,2010,1,177.98,178.07
AR,2010,2,183.12,182
AR,2010,3,177.63,176.75
AR,2010,4,174.7,175.36
AR,2011,1,177.29,177.27
AR,2011,2,174.24,173.15
AR,2011,3,175.77,174.87
AR,2011,4,177.26,178.1
AR,2012,1,177.99,177.81
AR,2012,2,182.89,181.77
AR,2012,3,181.78,180.85
AR,2012,4,180.26,181.2
AR,2013,1,185.59,185.29
AR,2013,2,186.25,185.14
AR,2013,3,186.52,185.58
AR,2013,4,182.6,183.6
AR,2014,1,185.6,185.19
AR,2014,2,188.02,186.98
AR,2014,3,189,188.02
AR,2014,4,190.82,191.83
AR,2015,1,188.7,188.36
AR,2015,2,193,191.97
AR,2015,3,196.11,194.99
AR,2015,4,194.39,195.38
AR,2016,1,196.38,196.11
AR,2016,2,198.57,197.59
AR,2016,3,200.61,199.38
AR,2016,4,199.27,200.1
AR,2017,1,203.02,202.99
AR,2017,2,204.7,203.69
AR,2017,3,207.97,206.65
AR,2017,4,209.88,210.53
AR,2018,1,211.78,211.96
AR,2018,2,213.94,212.97
AR,2018,3,216.58,215.16
AR,2018,4,216.98,217.4
AR,2019,1,221.18,221.63
