migration_year,current_state,prev_state,migration
2021,Alabama,Alabama,N/A
2021,Alabama,Alaska,12
2021,Alabama,Arizona,1338
2021,Alabama,Arkansas,1271
2021,Alabama,California,3369
2021,Alabama,Colorado,2070
2021,Alabama,Connecticut,532
2021,Alabama,Delaware,43
2021,Alabama,District of Columbia ,275
2021,Alabama,Florida,22507
2021,Alabama,Georgia,15873
2021,Alabama,Hawaii,1349
2021,Alabama,Idaho,406
2021,Alabama,Illinois,3399
2021,Alabama,Indiana,3146
2021,Alabama,Iowa,444
2021,Alabama,Kansas,606
2021,Alabama,Kentucky,1950
2021,Alabama,Louisiana,3594
2021,Alabama,Maine,225
2021,Alabama,Maryland,468
2021,Alabama,Massachusetts,915
2021,Alabama,Michigan,3065
2021,Alabama,Minnesota,499
2021,Alabama,Mississippi,4186
2021,Alabama,Missouri,2380
2021,Alabama,Montana,0
2021,Alabama,Nebraska,64
2021,Alabama,Nevada,1150
2021,Alabama,New Hampshire,0
2021,Alabama,New Jersey,1965
2021,Alabama,New Mexico,1061
2021,Alabama,New York,2085
2021,Alabama,North Carolina,2613
2021,Alabama,North Dakota,254
2021,Alabama,Ohio,1702
2021,Alabama,Oklahoma,851
2021,Alabama,Oregon,416
2021,Alabama,Pennsylvania,1928
2021,Alabama,Rhode Island,156
2021,Alabama,South Carolina,424
2021,Alabama,South Dakota,0
2021,Alabama,Tennessee,7418
2021,Alabama,Texas,10616
2021,Alabama,Utah,436
2021,Alabama,Vermont,21
2021,Alabama,Virginia,5382
2021,Alabama,Washington,1385
2021,Alabama,West Virginia,315
2021,Alabama,Wisconsin,1477
2021,Alabama,Wyoming,0
2021,Alaska,Alabama,517
2021,Alaska,Alaska,N/A
2021,Alaska,Arizona,977
2021,Alaska,Arkansas,0
2021,Alaska,California,3808
2021,Alaska,Colorado,922
2021,Alaska,Connecticut,0
2021,Alaska,Delaware,339
2021,Alaska,District of Columbia ,0
2021,Alaska,Florida,2163
2021,Alaska,Georgia,1551
2021,Alaska,Hawaii,1316
2021,Alaska,Idaho,503
2021,Alaska,Illinois,417
2021,Alaska,Indiana,218
2021,Alaska,Iowa,0
2021,Alaska,Kansas,452
2021,Alaska,Kentucky,1250
2021,Alaska,Louisiana,0
2021,Alaska,Maine,0
2021,Alaska,Maryland,772
2021,Alaska,Massachusetts,722
2021,Alaska,Michigan,1024
2021,Alaska,Minnesota,179
2021,Alaska,Mississippi,0
2021,Alaska,Missouri,0
2021,Alaska,Montana,867
2021,Alaska,Nebraska,9
2021,Alaska,Nevada,535
2021,Alaska,New Hampshire,276
2021,Alaska,New Jersey,15
2021,Alaska,New Mexico,1871
2021,Alaska,New York,70
2021,Alaska,North Carolina,1396
2021,Alaska,North Dakota,0
2021,Alaska,Ohio,12
2021,Alaska,Oklahoma,929
2021,Alaska,Oregon,337
2021,Alaska,Pennsylvania,345
2021,Alaska,Rhode Island,0
2021,Alaska,South Carolina,141
2021,Alaska,South Dakota,221
2021,Alaska,Tennessee,449
2021,Alaska,Texas,3563
2021,Alaska,Utah,210
2021,Alaska,Vermont,0
2021,Alaska,Virginia,963
2021,Alaska,Washington,1840
2021,Alaska,West Virginia,0
2021,Alaska,Wisconsin,110
2021,Alaska,Wyoming,89
2021,Arizona,Alabama,1485
2021,Arizona,Alaska,3586
2021,Arizona,Arizona,N/A
2021,Arizona,Arkansas,178
2021,Arizona,California,69432
2021,Arizona,Colorado,10035
2021,Arizona,Connecticut,2705
2021,Arizona,Delaware,1554
2021,Arizona,District of Columbia ,498
2021,Arizona,Florida,6748
2021,Arizona,Georgia,3474
2021,Arizona,Hawaii,3249
2021,Arizona,Idaho,6510
2021,Arizona,Illinois,13018
2021,Arizona,Indiana,6093
2021,Arizona,Iowa,2399
2021,Arizona,Kansas,1597
2021,Arizona,Kentucky,987
2021,Arizona,Louisiana,691
2021,Arizona,Maine,50
2021,Arizona,Maryland,1463
2021,Arizona,Massachusetts,1806
2021,Arizona,Michigan,3642
2021,Arizona,Minnesota,10891
2021,Arizona,Mississippi,1890
2021,Arizona,Missouri,2730
2021,Arizona,Montana,4728
2021,Arizona,Nebraska,2288
2021,Arizona,Nevada,5437
2021,Arizona,New Hampshire,75
2021,Arizona,New Jersey,2947
2021,Arizona,New Mexico,3818
2021,Arizona,New York,6674
2021,Arizona,North Carolina,2856
2021,Arizona,North Dakota,3821
2021,Arizona,Ohio,4089
2021,Arizona,Oklahoma,741
2021,Arizona,Oregon,7318
2021,Arizona,Pennsylvania,4989
2021,Arizona,Rhode Island,242
2021,Arizona,South Carolina,2482
2021,Arizona,South Dakota,1638
2021,Arizona,Tennessee,2145
2021,Arizona,Texas,13312
2021,Arizona,Utah,8495
2021,Arizona,Vermont,0
2021,Arizona,Virginia,1835
2021,Arizona,Washington,21816
2021,Arizona,West Virginia,123
2021,Arizona,Wisconsin,4788
2021,Arizona,Wyoming,1580
2021,Arkansas,Alabama,950
2021,Arkansas,Alaska,145
2021,Arkansas,Arizona,940
2021,Arkansas,Arkansas,N/A
2021,Arkansas,California,5600
2021,Arkansas,Colorado,4353
2021,Arkansas,Connecticut,31
2021,Arkansas,Delaware,68
2021,Arkansas,District of Columbia ,181
2021,Arkansas,Florida,1655
2021,Arkansas,Georgia,708
2021,Arkansas,Hawaii,250
2021,Arkansas,Idaho,0
2021,Arkansas,Illinois,2548
2021,Arkansas,Indiana,2041
2021,Arkansas,Iowa,1033
2021,Arkansas,Kansas,1548
2021,Arkansas,Kentucky,797
2021,Arkansas,Louisiana,2557
2021,Arkansas,Maine,144
2021,Arkansas,Maryland,130
2021,Arkansas,Massachusetts,490
2021,Arkansas,Michigan,3475
2021,Arkansas,Minnesota,1298
2021,Arkansas,Mississippi,1535
2021,Arkansas,Missouri,6754
2021,Arkansas,Montana,0
2021,Arkansas,Nebraska,43
2021,Arkansas,Nevada,500
2021,Arkansas,New Hampshire,609
2021,Arkansas,New Jersey,0
2021,Arkansas,New Mexico,570
2021,Arkansas,New York,1352
2021,Arkansas,North Carolina,724
2021,Arkansas,North Dakota,0
2021,Arkansas,Ohio,1364
2021,Arkansas,Oklahoma,4828
2021,Arkansas,Oregon,143
2021,Arkansas,Pennsylvania,1188
2021,Arkansas,Rhode Island,185
2021,Arkansas,South Carolina,387
2021,Arkansas,South Dakota,134
2021,Arkansas,Tennessee,4115
2021,Arkansas,Texas,16374
2021,Arkansas,Utah,21
2021,Arkansas,Vermont,0
2021,Arkansas,Virginia,1030
2021,Arkansas,Washington,1876
2021,Arkansas,West Virginia,75
2021,Arkansas,Wisconsin,716
2021,Arkansas,Wyoming,643
2021,California,Alabama,2710
2021,California,Alaska,3049
2021,California,Arizona,27449
2021,California,Arkansas,2576
2021,California,California,N/A
2021,California,Colorado,20353
2021,California,Connecticut,5189
2021,California,Delaware,1012
2021,California,District of Columbia ,4009
2021,California,Florida,24692
2021,California,Georgia,9111
2021,California,Hawaii,7544
2021,California,Idaho,2799
2021,California,Illinois,22546
2021,California,Indiana,3889
2021,California,Iowa,3435
2021,California,Kansas,3582
2021,California,Kentucky,2010
2021,California,Louisiana,3174
2021,California,Maine,248
2021,California,Maryland,5860
2021,California,Massachusetts,15274
2021,California,Michigan,9419
2021,California,Minnesota,6053
2021,California,Mississippi,1821
2021,California,Missouri,5200
2021,California,Montana,2049
2021,California,Nebraska,2596
2021,California,Nevada,14826
2021,California,New Hampshire,1034
2021,California,New Jersey,9063
2021,California,New Mexico,3316
2021,California,New York,32723
2021,California,North Carolina,9845
2021,California,North Dakota,1143
2021,California,Ohio,9529
2021,California,Oklahoma,4505
2021,California,Oregon,20219
2021,California,Pennsylvania,12156
2021,California,Rhode Island,1446
2021,California,South Carolina,4148
2021,California,South Dakota,2092
2021,California,Tennessee,3405
2021,California,Texas,33577
2021,California,Utah,6111
2021,California,Vermont,778
2021,California,Virginia,16881
2021,California,Washington,40456
2021,California,West Virginia,707
2021,California,Wisconsin,6455
2021,California,Wyoming,1338
2021,Colorado,Alabama,2192
2021,Colorado,Alaska,3692
2021,Colorado,Arizona,11880
2021,Colorado,Arkansas,171
2021,Colorado,California,33648
2021,Colorado,Colorado,N/A
2021,Colorado,Connecticut,1773
2021,Colorado,Delaware,643
2021,Colorado,District of Columbia ,2406
2021,Colorado,Florida,18661
2021,Colorado,Georgia,6419
2021,Colorado,Hawaii,2679
2021,Colorado,Idaho,1128
2021,Colorado,Illinois,10241
2021,Colorado,Indiana,1793
2021,Colorado,Iowa,1136
2021,Colorado,Kansas,3862
2021,Colorado,Kentucky,1940
2021,Colorado,Louisiana,4088
2021,Colorado,Maine,310
2021,Colorado,Maryland,2261
2021,Colorado,Massachusetts,6546
2021,Colorado,Michigan,3947
2021,Colorado,Minnesota,4569
2021,Colorado,Mississippi,1191
2021,Colorado,Missouri,6225
2021,Colorado,Montana,741
2021,Colorado,Nebraska,2350
2021,Colorado,Nevada,3440
2021,Colorado,New Hampshire,480
2021,Colorado,New Jersey,2895
2021,Colorado,New Mexico,5966
2021,Colorado,New York,12611
2021,Colorado,North Carolina,7440
2021,Colorado,North Dakota,540
2021,Colorado,Ohio,5514
2021,Colorado,Oklahoma,3624
2021,Colorado,Oregon,5642
2021,Colorado,Pennsylvania,3669
2021,Colorado,Rhode Island,16
2021,Colorado,South Carolina,1848
2021,Colorado,South Dakota,1509
2021,Colorado,Tennessee,3235
2021,Colorado,Texas,29754
2021,Colorado,Utah,5767
2021,Colorado,Vermont,0
2021,Colorado,Virginia,6432
2021,Colorado,Washington,6608
2021,Colorado,West Virginia,105
2021,Colorado,Wisconsin,3031
2021,Colorado,Wyoming,3413
2021,Connecticut,Alabama,0
2021,Connecticut,Alaska,0
2021,Connecticut,Arizona,661
2021,Connecticut,Arkansas,38
2021,Connecticut,California,6645
2021,Connecticut,Colorado,1181
2021,Connecticut,Connecticut,N/A
2021,Connecticut,Delaware,488
2021,Connecticut,District of Columbia ,393
2021,Connecticut,Florida,6534
2021,Connecticut,Georgia,1255
2021,Connecticut,Hawaii,37
2021,Connecticut,Idaho,353
2021,Connecticut,Illinois,789
2021,Connecticut,Indiana,888
2021,Connecticut,Iowa,490
2021,Connecticut,Kansas,169
2021,Connecticut,Kentucky,282
2021,Connecticut,Louisiana,825
2021,Connecticut,Maine,134
2021,Connecticut,Maryland,1419
2021,Connecticut,Massachusetts,14556
2021,Connecticut,Michigan,254
2021,Connecticut,Minnesota,1361
2021,Connecticut,Mississippi,0
2021,Connecticut,Missouri,318
2021,Connecticut,Montana,0
2021,Connecticut,Nebraska,66
2021,Connecticut,Nevada,246
2021,Connecticut,New Hampshire,1947
2021,Connecticut,New Jersey,6352
2021,Connecticut,New Mexico,237
2021,Connecticut,New York,40790
2021,Connecticut,North Carolina,2366
2021,Connecticut,North Dakota,0
2021,Connecticut,Ohio,1181
2021,Connecticut,Oklahoma,47
2021,Connecticut,Oregon,96
2021,Connecticut,Pennsylvania,3119
2021,Connecticut,Rhode Island,3421
2021,Connecticut,South Carolina,1771
2021,Connecticut,South Dakota,216
2021,Connecticut,Tennessee,556
2021,Connecticut,Texas,2073
2021,Connecticut,Utah,451
2021,Connecticut,Vermont,393
2021,Connecticut,Virginia,1536
2021,Connecticut,Washington,665
2021,Connecticut,West Virginia,19
2021,Connecticut,Wisconsin,0
2021,Connecticut,Wyoming,0
2021,Deleware,Alabama,0
2021,Deleware,Alaska,0
2021,Deleware,Arizona,708
2021,Deleware,Arkansas,0
2021,Deleware,California,116
2021,Deleware,Colorado,239
2021,Deleware,Connecticut,786
2021,Deleware,Delaware,N/A
2021,Deleware,District of Columbia ,604
2021,Deleware,Florida,1650
2021,Deleware,Georgia,130
2021,Deleware,Hawaii,70
2021,Deleware,Idaho,0
2021,Deleware,Illinois,212
2021,Deleware,Indiana,201
2021,Deleware,Iowa,0
2021,Deleware,Kansas,0
2021,Deleware,Kentucky,142
2021,Deleware,Louisiana,15
2021,Deleware,Maine,0
2021,Deleware,Maryland,7767
2021,Deleware,Massachusetts,1037
2021,Deleware,Michigan,451
2021,Deleware,Minnesota,90
2021,Deleware,Mississippi,6
2021,Deleware,Missouri,424
2021,Deleware,Montana,0
2021,Deleware,Nebraska,6
2021,Deleware,Nevada,96
2021,Deleware,New Hampshire,29
2021,Deleware,New Jersey,4008
2021,Deleware,New Mexico,86
2021,Deleware,New York,5958
2021,Deleware,North Carolina,341
2021,Deleware,North Dakota,0
2021,Deleware,Ohio,148
2021,Deleware,Oklahoma,21
2021,Deleware,Oregon,0
2021,Deleware,Pennsylvania,12349
2021,Deleware,Rhode Island,6
2021,Deleware,South Carolina,572
2021,Deleware,South Dakota,0
2021,Deleware,Tennessee,98
2021,Deleware,Texas,1300
2021,Deleware,Utah,0
2021,Deleware,Vermont,0
2021,Deleware,Virginia,2588
2021,Deleware,Washington,258
2021,Deleware,West Virginia,0
2021,Deleware,Wisconsin,39
2021,Deleware,Wyoming,0
2021,District of Columbia ,Alabama,342
2021,District of Columbia ,Alaska,196
2021,District of Columbia ,Arizona,674
2021,District of Columbia ,Arkansas,37
2021,District of Columbia ,California,3945
2021,District of Columbia ,Colorado,261
2021,District of Columbia ,Connecticut,1102
2021,District of Columbia ,Delaware,3560
2021,District of Columbia ,District of Columbia ,N/A
2021,District of Columbia ,Florida,2581
2021,District of Columbia ,Georgia,1662
2021,District of Columbia ,Hawaii,0
2021,District of Columbia ,Idaho,93
2021,District of Columbia ,Illinois,1736
2021,District of Columbia ,Indiana,159
2021,District of Columbia ,Iowa,145
2021,District of Columbia ,Kansas,503
2021,District of Columbia ,Kentucky,202
2021,District of Columbia ,Louisiana,324
2021,District of Columbia ,Maine,1028
2021,District of Columbia ,Maryland,7754
2021,District of Columbia ,Massachusetts,2389
2021,District of Columbia ,Michigan,607
2021,District of Columbia ,Minnesota,726
2021,District of Columbia ,Mississippi,29
2021,District of Columbia ,Missouri,87
2021,District of Columbia ,Montana,65
2021,District of Columbia ,Nebraska,0
2021,District of Columbia ,Nevada,431
2021,District of Columbia ,New Hampshire,266
2021,District of Columbia ,New Jersey,2709
2021,District of Columbia ,New Mexico,0
2021,District of Columbia ,New York,3658
2021,District of Columbia ,North Carolina,1330
2021,District of Columbia ,North Dakota,0
2021,District of Columbia ,Ohio,1610
2021,District of Columbia ,Oklahoma,374
2021,District of Columbia ,Oregon,426
2021,District of Columbia ,Pennsylvania,2237
2021,District of Columbia ,Rhode Island,366
2021,District of Columbia ,South Carolina,196
2021,District of Columbia ,South Dakota,0
2021,District of Columbia ,Tennessee,663
2021,District of Columbia ,Texas,1498
2021,District of Columbia ,Utah,24
2021,District of Columbia ,Vermont,0
2021,District of Columbia ,Virginia,9003
2021,District of Columbia ,Washington,1817
2021,District of Columbia ,West Virginia,568
2021,District of Columbia ,Wisconsin,307
2021,District of Columbia ,Wyoming,56
2021,Florida,Alabama,15159
2021,Florida,Alaska,2938
2021,Florida,Arizona,6607
2021,Florida,Arkansas,4804
2021,Florida,California,37464
2021,Florida,Colorado,18468
2021,Florida,Connecticut,15801
2021,Florida,Delaware,4732
2021,Florida,District of Columbia ,1917
2021,Florida,Florida,N/A
2021,Florida,Georgia,44723
2021,Florida,Hawaii,4179
2021,Florida,Idaho,1309
2021,Florida,Illinois,34061
2021,Florida,Indiana,17980
2021,Florida,Iowa,3735
2021,Florida,Kansas,3099
2021,Florida,Kentucky,8385
2021,Florida,Louisiana,5914
2021,Florida,Maine,1483
2021,Florida,Maryland,16166
2021,Florida,Massachusetts,20586
2021,Florida,Michigan,24506
2021,Florida,Minnesota,10156
2021,Florida,Mississippi,4522
2021,Florida,Missouri,11010
2021,Florida,Montana,1041
2021,Florida,Nebraska,2009
2021,Florida,Nevada,9332
2021,Florida,New Hampshire,3079
2021,Florida,New Jersey,36417
2021,Florida,New Mexico,2765
2021,Florida,New York,91758
2021,Florida,North Carolina,21207
2021,Florida,North Dakota,3610
2021,Florida,Ohio,22443
2021,Florida,Oklahoma,3768
2021,Florida,Oregon,5937
2021,Florida,Pennsylvania,29817
2021,Florida,Rhode Island,2784
2021,Florida,South Carolina,8393
2021,Florida,South Dakota,1282
2021,Florida,Tennessee,18772
2021,Florida,Texas,28243
2021,Florida,Utah,7284
2021,Florida,Vermont,1499
2021,Florida,Virginia,29153
2021,Florida,Washington,9611
2021,Florida,West Virginia,3165
2021,Florida,Wisconsin,9909
2021,Florida,Wyoming,1758
2021,Georgia,Alabama,22228
2021,Georgia,Alaska,2178
2021,Georgia,Arizona,3194
2021,Georgia,Arkansas,1236
2021,Georgia,California,28908
2021,Georgia,Colorado,5259
2021,Georgia,Connecticut,513
2021,Georgia,Delaware,779
2021,Georgia,District of Columbia ,920
2021,Georgia,Florida,49163
2021,Georgia,Georgia,N/A
2021,Georgia,Hawaii,2321
2021,Georgia,Idaho,208
2021,Georgia,Illinois,5472
2021,Georgia,Indiana,3897
2021,Georgia,Iowa,1619
2021,Georgia,Kansas,2588
2021,Georgia,Kentucky,7048
2021,Georgia,Louisiana,7437
2021,Georgia,Maine,721
2021,Georgia,Maryland,5135
2021,Georgia,Massachusetts,3151
2021,Georgia,Michigan,4923
2021,Georgia,Minnesota,2038
2021,Georgia,Mississippi,4992
2021,Georgia,Missouri,2867
2021,Georgia,Montana,394
2021,Georgia,Nebraska,144
2021,Georgia,Nevada,3464
2021,Georgia,New Hampshire,1677
2021,Georgia,New Jersey,10793
2021,Georgia,New Mexico,1262
2021,Georgia,New York,14038
2021,Georgia,North Carolina,14739
2021,Georgia,North Dakota,85
2021,Georgia,Ohio,7583
2021,Georgia,Oklahoma,1672
