migration_year,current_state,prev_state,migration
2022,Alabama,Alabama,N/A
2022,Alabama,Alaska,714
2022,Alabama,Arizona,1202
2022,Alabama,Arkansas,1536
2022,Alabama,California,8012
2022,Alabama,Colorado,3329
2022,Alabama,Connecticut,868
2022,Alabama,Delaware,694
2022,Alabama,District of Columbia ,85
2022,Alabama,Florida,18236
2022,Alabama,Georgia,23155
2022,Alabama,Hawaii,1256
2022,Alabama,Idaho,294
2022,Alabama,Illinois,4328
2022,Alabama,Indiana,1693
2022,Alabama,Iowa,363
2022,Alabama,Kansas,1403
2022,Alabama,Kentucky,2892
2022,Alabama,Louisiana,5461
2022,Alabama,Maine,141
2022,Alabama,Maryland,1517
2022,Alabama,Massachusetts,599
2022,Alabama,Michigan,1033
2022,Alabama,Minnesota,322
2022,Alabama,Mississippi,5736
2022,Alabama,Missouri,1421
2022,Alabama,Montana,150
2022,Alabama,Nebraska,102
2022,Alabama,Nevada,188
2022,Alabama,New Hampshire,855
2022,Alabama,New Jersey,1207
2022,Alabama,New Mexico,536
2022,Alabama,New York,3827
2022,Alabama,North Carolina,3320
2022,Alabama,North Dakota,712
2022,Alabama,Ohio,2223
2022,Alabama,Oklahoma,785
2022,Alabama,Oregon,752
2022,Alabama,Pennsylvania,3330
2022,Alabama,Rhode Island,158
2022,Alabama,South Carolina,6298
2022,Alabama,South Dakota,259
2022,Alabama,Tennessee,11634
2022,Alabama,Texas,10102
2022,Alabama,Utah,577
2022,Alabama,Vermont,194
2022,Alabama,Virginia,3654
2022,Alabama,Washington,1639
2022,Alabama,West Virginia,268
2022,Alabama,Wisconsin,203
2022,Alabama,Wyoming,0
2022,Alaska,Alabama,151
2022,Alaska,Alaska,N/A
2022,Alaska,Arizona,1645
2022,Alaska,Arkansas,10
2022,Alaska,California,3855
2022,Alaska,Colorado,665
2022,Alaska,Connecticut,15
2022,Alaska,Delaware,72
2022,Alaska,District of Columbia ,14
2022,Alaska,Florida,1575
2022,Alaska,Georgia,834
2022,Alaska,Hawaii,532
2022,Alaska,Idaho,309
2022,Alaska,Illinois,130
2022,Alaska,Indiana,296
2022,Alaska,Iowa,108
2022,Alaska,Kansas,352
2022,Alaska,Kentucky,73
2022,Alaska,Louisiana,186
2022,Alaska,Maine,0
2022,Alaska,Maryland,142
2022,Alaska,Massachusetts,285
2022,Alaska,Michigan,40
2022,Alaska,Minnesota,356
2022,Alaska,Mississippi,70
2022,Alaska,Missouri,367
2022,Alaska,Montana,1160
2022,Alaska,Nebraska,0
2022,Alaska,Nevada,256
2022,Alaska,New Hampshire,62
2022,Alaska,New Jersey,40
2022,Alaska,New Mexico,287
2022,Alaska,New York,2430
2022,Alaska,North Carolina,3305
2022,Alaska,North Dakota,120
2022,Alaska,Ohio,125
2022,Alaska,Oklahoma,1993
2022,Alaska,Oregon,1409
2022,Alaska,Pennsylvania,160
2022,Alaska,Rhode Island,0
2022,Alaska,South Carolina,393
