migration_year,current_state,prev_state,migration
2017,Alabama,Alabama,N/A
2017,Alabama,Alaska,424
2017,Alabama,Arizona,1513
2017,Alabama,Arkansas,517
2017,Alabama,California,2328
2017,Alabama,Colorado,1974
2017,Alabama,Connecticut,336
2017,Alabama,Delaware,22
2017,Alabama,District of Columbia ,378
2017,Alabama,Florida,14171
2017,Alabama,Georgia,22363
2017,Alabama,Hawaii,93
2017,Alabama,Idaho,118
2017,Alabama,Illinois,2399
2017,Alabama,Indiana,2295
2017,Alabama,Iowa,627
2017,Alabama,Kansas,646
2017,Alabama,Kentucky,2157
2017,Alabama,Louisiana,2308
2017,Alabama,Maine,56
2017,Alabama,Maryland,801
2017,Alabama,Massachusetts,450
2017,Alabama,Michigan,1821
2017,Alabama,Minnesota,420
2017,Alabama,Mississippi,7798
2017,Alabama,Missouri,544
2017,Alabama,Montana,247
2017,Alabama,Nebraska,167
2017,Alabama,Nevada,1989
2017,Alabama,New Hampshire,245
2017,Alabama,New Jersey,1103
2017,Alabama,New Mexico,1007
2017,Alabama,New York,2203
2017,Alabama,North Carolina,4245
2017,Alabama,North Dakota,878
2017,Alabama,Ohio,1702
2017,Alabama,Oklahoma,877
2017,Alabama,Oregon,444
2017,Alabama,Pennsylvania,1595
2017,Alabama,Rhode Island,848
2017,Alabama,South Carolina,1896
2017,Alabama,South Dakota,96
2017,Alabama,Tennessee,8018
2017,Alabama,Texas,8825
2017,Alabama,Utah,998
2017,Alabama,Vermont,0
2017,Alabama,Virginia,4277
2017,Alabama,Washington,1289
2017,Alabama,West Virginia,1070
2017,Alabama,Wisconsin,1121
2017,Alabama,Wyoming,104
2017,Alaska,Alabama,942
2017,Alaska,Alaska,N/A
2017,Alaska,Arizona,1387
2017,Alaska,Arkansas,203
2017,Alaska,California,3556
2017,Alaska,Colorado,1487
2017,Alaska,Connecticut,0
2017,Alaska,Delaware,0
2017,Alaska,District of Columbia ,0
2017,Alaska,Florida,906
2017,Alaska,Georgia,422
2017,Alaska,Hawaii,424
2017,Alaska,Idaho,225
2017,Alaska,Illinois,723
2017,Alaska,Indiana,186
2017,Alaska,Iowa,1083
2017,Alaska,Kansas,17
2017,Alaska,Kentucky,397
2017,Alaska,Louisiana,327
2017,Alaska,Maine,225
2017,Alaska,Maryland,325
2017,Alaska,Massachusetts,111
2017,Alaska,Michigan,524
2017,Alaska,Minnesota,1077
2017,Alaska,Mississippi,172
2017,Alaska,Missouri,143
2017,Alaska,Montana,156
2017,Alaska,Nebraska,282
2017,Alaska,Nevada,633
2017,Alaska,New Hampshire,0
2017,Alaska,New Jersey,485
2017,Alaska,New Mexico,64
2017,Alaska,New York,757
2017,Alaska,North Carolina,345
2017,Alaska,North Dakota,103
2017,Alaska,Ohio,448
2017,Alaska,Oklahoma,373
2017,Alaska,Oregon,1232
2017,Alaska,Pennsylvania,274
