Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
4,2022,120.7,108.8,108.6,,263.759,289.109,,13.3365,151.678,3.8,3.6,16565,9266,34041,349750,3199.36,1889.16,3798.19,3.784,4.885,5995.1,9341.3,9439.2,13336.5,17612,13686.61,8282.23,1222.6,479.1
5,2022,103.4,101.1,103.2,,266.847,292.296,,13.3889,152.042,3.8,3.6,15402,9333,36741,360000,5003.74,1900.65,3695.08,4.165,5.248,6009.4,9379.5,9477.5,13388.9,17660.7,14741.37,8505.78,1204.8,423.2
6,2022,101.2,97.4,98.4,,270.918,296.311,,13.4021,152.412,3.8,3.6,14961,11285,37492,360000,4560.18,1904.4,3685.62,4.67,5.393,6019.9,9406.8,9507,13402.1,17692.5,15110.18,7342.46,1250.3,400.2
7,2022,96.8,91.1,95.3,,270.424,296.276,,13.5274,152.98,3.8,3.5,11387,13366,32571,350000,3233.65,1872.61,3868.89,4.144,5.135,6063.8,9471,9576.5,13527.4,17752.5,13962.69,7730.56,1178.9,468.7
8,2022,101.9,96.5,103.6,,270.49,296.171,,13.5771,153.332,3.7,3.7,12549,8357,33831,343872,14039.55,1868.6,3749.68,3.535,4.706,6070,9507.7,9599.4,13577.1,17785,13066.22,8943.11,1189.2,445.0
9,2022,104.7,101.3,107.8,,271.469,296.808,,13.6136,153.682,3.8,3.5,10825,8850,31020,340370,9348.88,1805.79,3706.64,3.194,4.717,6079.6,9555.2,9585.9,13613.6,17806.2,8919.56,8019.93,1221.4,454.6
10,2022,103.8,99.1,102.2,,270.924,298.012,,13.6567,154.006,3.9,3.7,9970,10721,26196,335000,7696.91,1836.47,3820.48,3.23,4.885,6080.6,9545.6,9597.4,13656.7,17869.6,12534.87,5727.06,1183.0,398.5
11,2022,103.4,96,101.4,,270.579,297.711,,13.6878,154.296,3.8,3.6,8222,6171,23102,330000,3533.33,1977.91,3947.43,3.065,4.826,6096.4,9581.7,9627.5,13687.8,17889.6,11797.17,5082.25,1240.0,450.9
12,2022,101.3,98.6,109,,268.366,296.797,,13.7337,154.535,3.8,3.5,7346,8126,25117,330490,12947.14,2117.47,3964.11,2.719,4.309,6091.6,9620.1,9660.2,13733.7,17869.1,9270.19,5209.52,1180.8,437.0
1,2023,114.1,105.7,106,,270.886,299.17,,13.773700000000002,155.007,3.9,3.4,8142,9288,18038,318994,3187.55,2016.92,4100.78,3.026,4.277,6103.9,9643.1,9660.3,13773.7,17936.9,10889.48,2660.26,1203.3,375.0
2,2023,111.3,104,103.4,,273.112,300.84,,13.8106,155.255,4,3.6,9753,8374,23518,325117,2791.32,1735.45,3697.61,3.033,4.132,6112,9678,9689,13810.6,17958.3,9635.94,1379.56,1134.3,416.0
3,2023,109.2,107.1,104,,274.636,301.836,,13.8378,155.472,4,3.5,13772,6899,30883,330580,3602.84,1834.25,3592.05,3.097,3.959,6118.4,9683.5,9698,13837.8,17970.3,10614.34,1653.47,1087.1,376.9
4,2023,111.9,109.7,103.7,,276.653,303.363,,13.867700000000001,155.689,4,3.4,12854,4500,28541,337000,3682.76,1997.4,4071.44,3.335,3.867,6127.2,9708.6,9665.8,13867.7,18040.1,11026.36,1263.42,1177.7,440.4
5,2023,105.6,100,102.5,,277.404,304.127,,13.9135,155.97,4.1,3.7,14233,9068,34452,345000,4540.05,1892.05,3843.43,3.139,3.619,6132.6,9720.8,9691.9,13913.5,18078.3,,,1283.5,448.6
6,2023,112.5,107,110.1,,278.22,305.109,,13.9428,156.075,4.1,3.6,15165,6752,34324,347925,5069.95,1935.52,3913.31,3.201,3.5,6142.3,9727.1,9693.8,13942.8,18088.2,,,1254.0,400.1
7,2023,130,123.5,114,,278.448,305.691,,13.962399999999999,156.311,4.1,3.5,12559,6957,29752,345000,3424.78,1899.9,3966.88,3.312,3.59,6145.7,9763.4,9708.5,13962.4,18097.1,,,1227.1,447.4
8,2023,108.8,102.4,108.7,,280.209,307.026,,13.988,156.476,4.1,3.8,15190,7424,31439,340000,4534.56,1914.98,3916.93,3.498,4.08,6149.5,9776.8,9717.4,13988,18100.3,,,1237.1,441.9
9,2023,97.4,91.8,104.3,,281.414,307.789,,14.0495,156.738,4.1,3.8,11438,6774,26338,338000,5387.97,1842.89,3869.46,3.434,4.254,6160.9,9795.6,9739.5,14049.5,18114.7,,,1272.0,408.3
10,2023,116.1,104.8,99.1,,280.609,307.671,,14.068100000000001,156.843,4.1,3.9,12925,7965,24666,330000,3853.11,1803.68,3802.5,3.156,4.167,6143.8,9817.1,9720.8,14068.1,18149.2,,,1200.2,401.9
11,2023,113.3,101,101,,281.688,307.051,,14.084200000000001,157.016,4.1,3.7,11015,4174,22698,325232,3066.58,1955.78,4071.65,2.824,3.898,6148.2,9844.2,9724.6,14084.2,18157.3,,,1252.9,413.0
12,2023,120.4,104.1,108,,281.716,306.746,,14.103299999999999,157.232,4,3.7,10221,4197,23348,335000,,2170.22,4065.28,2.683,3.639,6149.4,9860.7,9732.9,14103.3,18180.7,,,1190.6,428.2
1,2024,124.4,114.7,114.8,,,,,,,,,,,,,,2043.7,4101.08,,,,,,,,,,1176.3,382.3
2,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
