migration_year,current_state,prev_state,migration
2011,Alabama,Alabama,N/A
2011,Alabama,Alaska,1771
2011,Alabama,Arizona,1677
2011,Alabama,Arkansas,1642
2011,Alabama,California,3389
2011,Alabama,Colorado,348
2011,Alabama,Connecticut,2921
2011,Alabama,Delaware,232
2011,Alabama,District of Columbia ,399
2011,Alabama,Florida,20063
2011,Alabama,Georgia,19346
2011,Alabama,Hawaii,1259
2011,Alabama,Idaho,137
2011,Alabama,Illinois,6991
2011,Alabama,Indiana,1434
2011,Alabama,Iowa,30
2011,Alabama,Kansas,842
2011,Alabama,Kentucky,2686
2011,Alabama,Louisiana,2413
2011,Alabama,Maine,626
2011,Alabama,Maryland,1606
2011,Alabama,Massachusetts,112
2011,Alabama,Michigan,2797
2011,Alabama,Minnesota,327
2011,Alabama,Mississippi,3945
2011,Alabama,Missouri,1086
2011,Alabama,Montana,317
2011,Alabama,Nebraska,770
2011,Alabama,Nevada,257
2011,Alabama,New Hampshire,64
2011,Alabama,New Jersey,1996
2011,Alabama,New Mexico,119
2011,Alabama,New York,1108
2011,Alabama,North Carolina,2697
2011,Alabama,North Dakota,284
2011,Alabama,Ohio,2596
2011,Alabama,Oklahoma,973
2011,Alabama,Oregon,169
2011,Alabama,Pennsylvania,1075
2011,Alabama,Rhode Island,0
2011,Alabama,South Carolina,2036
2011,Alabama,South Dakota,90
2011,Alabama,Tennessee,8710
2011,Alabama,Texas,7973
2011,Alabama,Utah,300
2011,Alabama,Vermont,66
2011,Alabama,Virginia,4935
2011,Alabama,Washington,2621
2011,Alabama,West Virginia,65
2011,Alabama,Wisconsin,417
2011,Alabama,Wyoming,9
2011,Alaska,Alabama,93
2011,Alaska,Alaska,N/A
2011,Alaska,Arizona,2467
2011,Alaska,Arkansas,190
2011,Alaska,California,3098
2011,Alaska,Colorado,1583
2011,Alaska,Connecticut,138
2011,Alaska,Delaware,11
2011,Alaska,District of Columbia ,140
2011,Alaska,Florida,1188
2011,Alaska,Georgia,556
2011,Alaska,Hawaii,1366
2011,Alaska,Idaho,475
2011,Alaska,Illinois,985
2011,Alaska,Indiana,181
2011,Alaska,Iowa,319
2011,Alaska,Kansas,750
2011,Alaska,Kentucky,237
2011,Alaska,Louisiana,1077
2011,Alaska,Maine,0
2011,Alaska,Maryland,216
2011,Alaska,Massachusetts,141
2011,Alaska,Michigan,771
2011,Alaska,Minnesota,593
2011,Alaska,Mississippi,554
2011,Alaska,Missouri,921
2011,Alaska,Montana,248
2011,Alaska,Nebraska,5
2011,Alaska,Nevada,532
2011,Alaska,New Hampshire,520
2011,Alaska,New Jersey,128
2011,Alaska,New Mexico,226
2011,Alaska,New York,940
2011,Alaska,North Carolina,470
2011,Alaska,North Dakota,0
2011,Alaska,Ohio,319
2011,Alaska,Oklahoma,616
2011,Alaska,Oregon,2161
2011,Alaska,Pennsylvania,378
2011,Alaska,Rhode Island,0
2011,Alaska,South Carolina,186
2011,Alaska,South Dakota,301
2011,Alaska,Tennessee,388
2011,Alaska,Texas,2492
2011,Alaska,Utah,662
2011,Alaska,Vermont,68
2011,Alaska,Virginia,1488
2011,Alaska,Washington,4548
2011,Alaska,West Virginia,89
2011,Alaska,Wisconsin,23
2011,Alaska,Wyoming,246
2011,Arizona,Alabama,833
2011,Arizona,Alaska,5001
2011,Arizona,Arizona,N/A
2011,Arizona,Arkansas,1066
2011,Arizona,California,49635
2011,Arizona,Colorado,10189
2011,Arizona,Connecticut,1875
2011,Arizona,Delaware,0
2011,Arizona,District of Columbia ,389
2011,Arizona,Florida,3732
2011,Arizona,Georgia,2206
2011,Arizona,Hawaii,2199
2011,Arizona,Idaho,2190
2011,Arizona,Illinois,10035
2011,Arizona,Indiana,5855
2011,Arizona,Iowa,4526
2011,Arizona,Kansas,1708
2011,Arizona,Kentucky,2134
2011,Arizona,Louisiana,844
2011,Arizona,Maine,0
2011,Arizona,Maryland,1918
2011,Arizona,Massachusetts,743
2011,Arizona,Michigan,9396
2011,Arizona,Minnesota,3297
2011,Arizona,Mississippi,1226
2011,Arizona,Missouri,3872
2011,Arizona,Montana,2431
2011,Arizona,Nebraska,1393
2011,Arizona,Nevada,8756
2011,Arizona,New Hampshire,228
2011,Arizona,New Jersey,3379
2011,Arizona,New Mexico,4610
2011,Arizona,New York,3880
2011,Arizona,North Carolina,2548
2011,Arizona,North Dakota,1159
2011,Arizona,Ohio,4682
2011,Arizona,Oklahoma,3219
2011,Arizona,Oregon,4613
2011,Arizona,Pennsylvania,3436
2011,Arizona,Rhode Island,72
2011,Arizona,South Carolina,1774
2011,Arizona,South Dakota,1657
2011,Arizona,Tennessee,1680
2011,Arizona,Texas,12688
2011,Arizona,Utah,10577
2011,Arizona,Vermont,0
2011,Arizona,Virginia,2233
2011,Arizona,Washington,13940
2011,Arizona,West Virginia,70
2011,Arizona,Wisconsin,6473
2011,Arizona,Wyoming,2510
2011,Arkansas,Alabama,691
2011,Arkansas,Alaska,560
2011,Arkansas,Arizona,439
2011,Arkansas,Arkansas,N/A
2011,Arkansas,California,4077
2011,Arkansas,Colorado,746
2011,Arkansas,Connecticut,519
2011,Arkansas,Delaware,79
2011,Arkansas,District of Columbia ,0
2011,Arkansas,Florida,3067
2011,Arkansas,Georgia,1446
2011,Arkansas,Hawaii,13
2011,Arkansas,Idaho,179
2011,Arkansas,Illinois,3684
2011,Arkansas,Indiana,1362
2011,Arkansas,Iowa,851
2011,Arkansas,Kansas,2008
2011,Arkansas,Kentucky,213
2011,Arkansas,Louisiana,2120
2011,Arkansas,Maine,30
2011,Arkansas,Maryland,133
2011,Arkansas,Massachusetts,781
2011,Arkansas,Michigan,1881
2011,Arkansas,Minnesota,232
2011,Arkansas,Mississippi,1731
2011,Arkansas,Missouri,7314
2011,Arkansas,Montana,713
2011,Arkansas,Nebraska,332
2011,Arkansas,Nevada,641
2011,Arkansas,New Hampshire,52
2011,Arkansas,New Jersey,341
2011,Arkansas,New Mexico,775
2011,Arkansas,New York,674
2011,Arkansas,North Carolina,1664
2011,Arkansas,North Dakota,214
2011,Arkansas,Ohio,174
2011,Arkansas,Oklahoma,3761
2011,Arkansas,Oregon,632
2011,Arkansas,Pennsylvania,567
2011,Arkansas,Rhode Island,0
2011,Arkansas,South Carolina,235
2011,Arkansas,South Dakota,0
2011,Arkansas,Tennessee,6462
2011,Arkansas,Texas,14767
2011,Arkansas,Utah,0
2011,Arkansas,Vermont,0
2011,Arkansas,Virginia,1245
2011,Arkansas,Washington,1477
2011,Arkansas,West Virginia,24
2011,Arkansas,Wisconsin,687
2011,Arkansas,Wyoming,252
2011,California,Alabama,2087
2011,California,Alaska,7358
2011,California,Arizona,35650
2011,California,Arkansas,2648
2011,California,California,N/A
2011,California,Colorado,21245
2011,California,Connecticut,3073
2011,California,Delaware,1302
2011,California,District of Columbia ,3240
2011,California,Florida,22094
2011,California,Georgia,13303
2011,California,Hawaii,9864
2011,California,Idaho,4796
2011,California,Illinois,20834
2011,California,Indiana,4673
2011,California,Iowa,3324
2011,California,Kansas,2810
2011,California,Kentucky,1201
2011,California,Louisiana,3600
2011,California,Maine,1658
2011,California,Maryland,7793
2011,California,Massachusetts,10244
2011,California,Michigan,12069
2011,California,Minnesota,5687
2011,California,Mississippi,2092
2011,California,Missouri,7677
2011,California,Montana,2599
2011,California,Nebraska,1955
2011,California,Nevada,36159
