migration_year,current_state,prev_state,migration
2013,Alabama,Alabama,N/A
2013,Alabama,Alaska,1026
2013,Alabama,Arizona,1077
2013,Alabama,Arkansas,1108
2013,Alabama,California,4918
2013,Alabama,Colorado,698
2013,Alabama,Connecticut,439
2013,Alabama,Delaware,0
2013,Alabama,District of Columbia ,10
2013,Alabama,Florida,11518
2013,Alabama,Georgia,17867
2013,Alabama,Hawaii,718
2013,Alabama,Idaho,222
2013,Alabama,Illinois,3126
2013,Alabama,Indiana,1303
2013,Alabama,Iowa,699
2013,Alabama,Kansas,566
2013,Alabama,Kentucky,2498
2013,Alabama,Louisiana,1429
2013,Alabama,Maine,52
2013,Alabama,Maryland,960
2013,Alabama,Massachusetts,972
2013,Alabama,Michigan,2801
2013,Alabama,Minnesota,487
2013,Alabama,Mississippi,7706
2013,Alabama,Missouri,1501
2013,Alabama,Montana,537
2013,Alabama,Nebraska,173
2013,Alabama,Nevada,569
2013,Alabama,New Hampshire,0
2013,Alabama,New Jersey,743
2013,Alabama,New Mexico,1838
2013,Alabama,New York,2735
2013,Alabama,North Carolina,5663
2013,Alabama,North Dakota,148
2013,Alabama,Ohio,3678
2013,Alabama,Oklahoma,669
2013,Alabama,Oregon,228
2013,Alabama,Pennsylvania,1488
2013,Alabama,Rhode Island,121
2013,Alabama,South Carolina,1795
2013,Alabama,South Dakota,318
2013,Alabama,Tennessee,8806
2013,Alabama,Texas,4413
2013,Alabama,Utah,1881
2013,Alabama,Vermont,19
2013,Alabama,Virginia,3303
2013,Alabama,Washington,589
2013,Alabama,West Virginia,109
2013,Alabama,Wisconsin,296
2013,Alabama,Wyoming,282
2013,Alaska,Alabama,572
2013,Alaska,Alaska,N/A
2013,Alaska,Arizona,733
2013,Alaska,Arkansas,403
2013,Alaska,California,2874
2013,Alaska,Colorado,2359
2013,Alaska,Connecticut,22
2013,Alaska,Delaware,0
2013,Alaska,District of Columbia ,0
2013,Alaska,Florida,781
2013,Alaska,Georgia,1808
2013,Alaska,Hawaii,257
2013,Alaska,Idaho,555
2013,Alaska,Illinois,2012
2013,Alaska,Indiana,775
2013,Alaska,Iowa,31
2013,Alaska,Kansas,984
2013,Alaska,Kentucky,206
2013,Alaska,Louisiana,167
2013,Alaska,Maine,44
2013,Alaska,Maryland,528
2013,Alaska,Massachusetts,95
2013,Alaska,Michigan,563
2013,Alaska,Minnesota,111
2013,Alaska,Mississippi,140
2013,Alaska,Missouri,876
2013,Alaska,Montana,195
2013,Alaska,Nebraska,0
2013,Alaska,Nevada,469
2013,Alaska,New Hampshire,16
2013,Alaska,New Jersey,233
2013,Alaska,New Mexico,620
2013,Alaska,New York,694
2013,Alaska,North Carolina,2744
2013,Alaska,North Dakota,95
2013,Alaska,Ohio,734
2013,Alaska,Oklahoma,318
2013,Alaska,Oregon,1264
2013,Alaska,Pennsylvania,1074
2013,Alaska,Rhode Island,0
2013,Alaska,South Carolina,354
2013,Alaska,South Dakota,54
2013,Alaska,Tennessee,570
2013,Alaska,Texas,2477
2013,Alaska,Utah,1363
2013,Alaska,Vermont,6
2013,Alaska,Virginia,727
2013,Alaska,Washington,2984
2013,Alaska,West Virginia,257
2013,Alaska,Wisconsin,216
2013,Alaska,Wyoming,0
2013,Arizona,Alabama,2140
2013,Arizona,Alaska,4418
2013,Arizona,Arizona,N/A
2013,Arizona,Arkansas,310
2013,Arizona,California,47959
2013,Arizona,Colorado,8325
2013,Arizona,Connecticut,1029
2013,Arizona,Delaware,534
2013,Arizona,District of Columbia ,230
2013,Arizona,Florida,6828
2013,Arizona,Georgia,2647
2013,Arizona,Hawaii,2776
2013,Arizona,Idaho,3563
2013,Arizona,Illinois,7264
2013,Arizona,Indiana,3688
2013,Arizona,Iowa,2680
2013,Arizona,Kansas,1818
2013,Arizona,Kentucky,885
2013,Arizona,Louisiana,1478
2013,Arizona,Maine,881
2013,Arizona,Maryland,1812
2013,Arizona,Massachusetts,1331
2013,Arizona,Michigan,8099
2013,Arizona,Minnesota,5618
2013,Arizona,Mississippi,500
2013,Arizona,Missouri,2768
2013,Arizona,Montana,2087
2013,Arizona,Nebraska,2749
2013,Arizona,Nevada,9442
2013,Arizona,New Hampshire,462
2013,Arizona,New Jersey,3817
2013,Arizona,New Mexico,6526
2013,Arizona,New York,6846
2013,Arizona,North Carolina,2583
2013,Arizona,North Dakota,906
2013,Arizona,Ohio,3692
2013,Arizona,Oklahoma,1701
2013,Arizona,Oregon,9331
2013,Arizona,Pennsylvania,5726
2013,Arizona,Rhode Island,464
2013,Arizona,South Carolina,2045
2013,Arizona,South Dakota,1508
2013,Arizona,Tennessee,3292
2013,Arizona,Texas,17742
2013,Arizona,Utah,9093
2013,Arizona,Vermont,306
2013,Arizona,Virginia,3771
2013,Arizona,Washington,14756
2013,Arizona,West Virginia,188
2013,Arizona,Wisconsin,5694
2013,Arizona,Wyoming,1838
2013,Arkansas,Alabama,0
2013,Arkansas,Alaska,1193
2013,Arkansas,Arizona,661
2013,Arkansas,Arkansas,N/A
2013,Arkansas,California,4925
2013,Arkansas,Colorado,1557
2013,Arkansas,Connecticut,870
2013,Arkansas,Delaware,0
2013,Arkansas,District of Columbia ,330
2013,Arkansas,Florida,1751
2013,Arkansas,Georgia,2870
2013,Arkansas,Hawaii,118
2013,Arkansas,Idaho,251
2013,Arkansas,Illinois,3117
2013,Arkansas,Indiana,999
2013,Arkansas,Iowa,949
2013,Arkansas,Kansas,1650
2013,Arkansas,Kentucky,1915
2013,Arkansas,Louisiana,4467
2013,Arkansas,Maine,0
2013,Arkansas,Maryland,1281
2013,Arkansas,Massachusetts,0
2013,Arkansas,Michigan,429
2013,Arkansas,Minnesota,289
2013,Arkansas,Mississippi,1422
2013,Arkansas,Missouri,5273
2013,Arkansas,Montana,41
2013,Arkansas,Nebraska,137
2013,Arkansas,Nevada,348
2013,Arkansas,New Hampshire,361
2013,Arkansas,New Jersey,437
2013,Arkansas,New Mexico,209
2013,Arkansas,New York,1034
2013,Arkansas,North Carolina,542
2013,Arkansas,North Dakota,0
2013,Arkansas,Ohio,1836
2013,Arkansas,Oklahoma,8892
2013,Arkansas,Oregon,786
2013,Arkansas,Pennsylvania,244
2013,Arkansas,Rhode Island,30
2013,Arkansas,South Carolina,339
2013,Arkansas,South Dakota,94
2013,Arkansas,Tennessee,4285
2013,Arkansas,Texas,12937
2013,Arkansas,Utah,237
2013,Arkansas,Vermont,0
2013,Arkansas,Virginia,514
2013,Arkansas,Washington,520
2013,Arkansas,West Virginia,150
2013,Arkansas,Wisconsin,331
2013,Arkansas,Wyoming,0
2013,California,Alabama,2958
2013,California,Alaska,8457
2013,California,Arizona,36567
2013,California,Arkansas,3687
2013,California,California,N/A
2013,California,Colorado,16151
2013,California,Connecticut,5145
2013,California,Delaware,300
2013,California,District of Columbia ,3823
2013,California,Florida,25950
2013,California,Georgia,11773
2013,California,Hawaii,13610
2013,California,Idaho,6192
2013,California,Illinois,19961
2013,California,Indiana,8799
2013,California,Iowa,3563
2013,California,Kansas,4680
2013,California,Kentucky,3895
2013,California,Louisiana,3764
2013,California,Maine,1104
2013,California,Maryland,9781
2013,California,Massachusetts,12947
2013,California,Michigan,9172
2013,California,Minnesota,7376
2013,California,Mississippi,2450
2013,California,Missouri,7146
2013,California,Montana,3147
2013,California,Nebraska,1262
2013,California,Nevada,29897
2013,California,New Hampshire,1198
2013,California,New Jersey,10498
2013,California,New Mexico,6290
2013,California,New York,30704
2013,California,North Carolina,10858
2013,California,North Dakota,710
2013,California,Ohio,6742
2013,California,Oklahoma,3717
2013,California,Oregon,20128
2013,California,Pennsylvania,11426
2013,California,Rhode Island,1658
2013,California,South Carolina,7283
2013,California,South Dakota,981
2013,California,Tennessee,7020
2013,California,Texas,32290
2013,California,Utah,12631
2013,California,Vermont,1029
2013,California,Virginia,12810
2013,California,Washington,37246
2013,California,West Virginia,967
2013,California,Wisconsin,4704
2013,California,Wyoming,1030
2013,Colorado,Alabama,2926
2013,Colorado,Alaska,1606
2013,Colorado,Arizona,8798
2013,Colorado,Arkansas,1235
2013,Colorado,California,23714
2013,Colorado,Colorado,N/A
2013,Colorado,Connecticut,861
2013,Colorado,Delaware,551
2013,Colorado,District of Columbia ,78
2013,Colorado,Florida,9448
2013,Colorado,Georgia,6671
2013,Colorado,Hawaii,1363
2013,Colorado,Idaho,2542
2013,Colorado,Illinois,7528
2013,Colorado,Indiana,2197
2013,Colorado,Iowa,2868
2013,Colorado,Kansas,6545
2013,Colorado,Kentucky,2287
2013,Colorado,Louisiana,2374
2013,Colorado,Maine,881
2013,Colorado,Maryland,2920
2013,Colorado,Massachusetts,2194
2013,Colorado,Michigan,2718
2013,Colorado,Minnesota,3754
2013,Colorado,Mississippi,1168
2013,Colorado,Missouri,6317
2013,Colorado,Montana,2636
2013,Colorado,Nebraska,3457
2013,Colorado,Nevada,2498
2013,Colorado,New Hampshire,536
2013,Colorado,New Jersey,1426
2013,Colorado,New Mexico,5968
2013,Colorado,New York,7848
2013,Colorado,North Carolina,4858
2013,Colorado,North Dakota,974
2013,Colorado,Ohio,4566
2013,Colorado,Oklahoma,5138
2013,Colorado,Oregon,2793
2013,Colorado,Pennsylvania,3773
2013,Colorado,Rhode Island,522
2013,Colorado,South Carolina,1312
2013,Colorado,South Dakota,1651
2013,Colorado,Tennessee,2295
2013,Colorado,Texas,23490
2013,Colorado,Utah,6240
2013,Colorado,Vermont,689
2013,Colorado,Virginia,6980
2013,Colorado,Washington,6173
2013,Colorado,West Virginia,246
2013,Colorado,Wisconsin,2623
2013,Colorado,Wyoming,4307
2013,Connecticut,Alabama,337
2013,Connecticut,Alaska,1688
2013,Connecticut,Arizona,1791
2013,Connecticut,Arkansas,0
2013,Connecticut,California,4206
2013,Connecticut,Colorado,1066
2013,Connecticut,Connecticut,N/A
2013,Connecticut,Delaware,1332
2013,Connecticut,District of Columbia ,367
2013,Connecticut,Florida,5768
2013,Connecticut,Georgia,2303
2013,Connecticut,Hawaii,398
2013,Connecticut,Idaho,0
2013,Connecticut,Illinois,2040
2013,Connecticut,Indiana,305
2013,Connecticut,Iowa,0
2013,Connecticut,Kansas,210
2013,Connecticut,Kentucky,70
2013,Connecticut,Louisiana,24
2013,Connecticut,Maine,366
2013,Connecticut,Maryland,1228
2013,Connecticut,Massachusetts,7645
2013,Connecticut,Michigan,1193
2013,Connecticut,Minnesota,775
2013,Connecticut,Mississippi,57
2013,Connecticut,Missouri,339
2013,Connecticut,Montana,60
2013,Connecticut,Nebraska,0
2013,Connecticut,Nevada,122
2013,Connecticut,New Hampshire,2547
2013,Connecticut,New Jersey,5504
2013,Connecticut,New Mexico,197
2013,Connecticut,New York,23051
2013,Connecticut,North Carolina,1806
2013,Connecticut,North Dakota,0
2013,Connecticut,Ohio,1156
2013,Connecticut,Oklahoma,65
2013,Connecticut,Oregon,271
2013,Connecticut,Pennsylvania,6571
2013,Connecticut,Rhode Island,3607
2013,Connecticut,South Carolina,1609
2013,Connecticut,South Dakota,0
2013,Connecticut,Tennessee,1139
2013,Connecticut,Texas,1997
2013,Connecticut,Utah,433
2013,Connecticut,Vermont,621
2013,Connecticut,Virginia,2665
2013,Connecticut,Washington,672
2013,Connecticut,West Virginia,183
2013,Connecticut,Wisconsin,435
2013,Connecticut,Wyoming,132
2013,Deleware,Alabama,0
2013,Deleware,Alaska,272
2013,Deleware,Arizona,0
2013,Deleware,Arkansas,0
2013,Deleware,California,810
2013,Deleware,Colorado,74
2013,Deleware,Connecticut,602
2013,Deleware,Delaware,N/A
2013,Deleware,District of Columbia ,292
2013,Deleware,Florida,1034
2013,Deleware,Georgia,926
2013,Deleware,Hawaii,0
2013,Deleware,Idaho,0
2013,Deleware,Illinois,156
2013,Deleware,Indiana,0
2013,Deleware,Iowa,0
2013,Deleware,Kansas,0
2013,Deleware,Kentucky,180
2013,Deleware,Louisiana,213
2013,Deleware,Maine,53
2013,Deleware,Maryland,7932
2013,Deleware,Massachusetts,94
2013,Deleware,Michigan,171
2013,Deleware,Minnesota,204
2013,Deleware,Mississippi,404
2013,Deleware,Missouri,477
2013,Deleware,Montana,0
2013,Deleware,Nebraska,131
2013,Deleware,Nevada,0
2013,Deleware,New Hampshire,0
2013,Deleware,New Jersey,4520
2013,Deleware,New Mexico,258
2013,Deleware,New York,3527
2013,Deleware,North Carolina,1374
2013,Deleware,North Dakota,0
2013,Deleware,Ohio,453
2013,Deleware,Oklahoma,91
2013,Deleware,Oregon,0
2013,Deleware,Pennsylvania,10778
2013,Deleware,Rhode Island,0
2013,Deleware,South Carolina,532
2013,Deleware,South Dakota,0
2013,Deleware,Tennessee,163
2013,Deleware,Texas,240
2013,Deleware,Utah,0
2013,Deleware,Vermont,0
2013,Deleware,Virginia,776
2013,Deleware,Washington,0
2013,Deleware,West Virginia,53
2013,Deleware,Wisconsin,0
2013,Deleware,Wyoming,0
2013,District of Columbia ,Alabama,316
2013,District of Columbia ,Alaska,579
2013,District of Columbia ,Arizona,79
2013,District of Columbia ,Arkansas,0
2013,District of Columbia ,California,2427
2013,District of Columbia ,Colorado,337
2013,District of Columbia ,Connecticut,1597
2013,District of Columbia ,Delaware,336
2013,District of Columbia ,District of Columbia ,N/A
2013,District of Columbia ,Florida,1307
2013,District of Columbia ,Georgia,1497
2013,District of Columbia ,Hawaii,339
2013,District of Columbia ,Idaho,0
2013,District of Columbia ,Illinois,753
2013,District of Columbia ,Indiana,215
2013,District of Columbia ,Iowa,27
2013,District of Columbia ,Kansas,0
2013,District of Columbia ,Kentucky,46
2013,District of Columbia ,Louisiana,858
2013,District of Columbia ,Maine,0
2013,District of Columbia ,Maryland,9237
2013,District of Columbia ,Massachusetts,1557
2013,District of Columbia ,Michigan,622
2013,District of Columbia ,Minnesota,0
2013,District of Columbia ,Mississippi,0
2013,District of Columbia ,Missouri,278
2013,District of Columbia ,Montana,44
2013,District of Columbia ,Nebraska,22
2013,District of Columbia ,Nevada,0
2013,District of Columbia ,New Hampshire,108
2013,District of Columbia ,New Jersey,2173
2013,District of Columbia ,New Mexico,411
2013,District of Columbia ,New York,4770
2013,District of Columbia ,North Carolina,1253
2013,District of Columbia ,North Dakota,0
2013,District of Columbia ,Ohio,315
2013,District of Columbia ,Oklahoma,155
2013,District of Columbia ,Oregon,194
2013,District of Columbia ,Pennsylvania,2177
2013,District of Columbia ,Rhode Island,1150
2013,District of Columbia ,South Carolina,506
2013,District of Columbia ,South Dakota,203
2013,District of Columbia ,Tennessee,560
2013,District of Columbia ,Texas,1625
2013,District of Columbia ,Utah,126
2013,District of Columbia ,Vermont,0
2013,District of Columbia ,Virginia,7814
2013,District of Columbia ,Washington,159
2013,District of Columbia ,West Virginia,391
2013,District of Columbia ,Wisconsin,5
2013,District of Columbia ,Wyoming,3
2013,Florida,Alabama,10281
2013,Florida,Alaska,10876
2013,Florida,Arizona,7553
2013,Florida,Arkansas,1577
2013,Florida,California,26690
