migration_year,current_state,prev_state,migration
2014,Alabama,Alabama,N/A
2014,Alabama,Alaska,1136
2014,Alabama,Arizona,837
2014,Alabama,Arkansas,1450
2014,Alabama,California,5402
2014,Alabama,Colorado,2019
2014,Alabama,Connecticut,497
2014,Alabama,Delaware,116
2014,Alabama,District of Columbia ,123
2014,Alabama,Florida,14403
2014,Alabama,Georgia,20220
2014,Alabama,Hawaii,1034
2014,Alabama,Idaho,508
2014,Alabama,Illinois,2263
2014,Alabama,Indiana,2065
2014,Alabama,Iowa,231
2014,Alabama,Kansas,496
2014,Alabama,Kentucky,3718
2014,Alabama,Louisiana,2353
2014,Alabama,Maine,0
2014,Alabama,Maryland,1318
2014,Alabama,Massachusetts,601
2014,Alabama,Michigan,2559
2014,Alabama,Minnesota,264
2014,Alabama,Mississippi,5473
2014,Alabama,Missouri,2347
2014,Alabama,Montana,0
2014,Alabama,Nebraska,284
2014,Alabama,Nevada,617
2014,Alabama,New Hampshire,250
2014,Alabama,New Jersey,635
2014,Alabama,New Mexico,570
2014,Alabama,New York,2283
2014,Alabama,North Carolina,2418
2014,Alabama,North Dakota,0
2014,Alabama,Ohio,4577
2014,Alabama,Oklahoma,1218
2014,Alabama,Oregon,194
2014,Alabama,Pennsylvania,1444
2014,Alabama,Rhode Island,0
2014,Alabama,South Carolina,2255
2014,Alabama,South Dakota,0
2014,Alabama,Tennessee,7770
2014,Alabama,Texas,6422
2014,Alabama,Utah,599
2014,Alabama,Vermont,179
2014,Alabama,Virginia,1925
2014,Alabama,Washington,1143
2014,Alabama,West Virginia,1162
2014,Alabama,Wisconsin,234
2014,Alabama,Wyoming,307
2014,Alaska,Alabama,603
2014,Alaska,Alaska,N/A
2014,Alaska,Arizona,2049
2014,Alaska,Arkansas,240
2014,Alaska,California,3419
2014,Alaska,Colorado,2017
2014,Alaska,Connecticut,167
2014,Alaska,Delaware,56
2014,Alaska,District of Columbia ,0
2014,Alaska,Florida,2681
2014,Alaska,Georgia,535
2014,Alaska,Hawaii,730
2014,Alaska,Idaho,716
2014,Alaska,Illinois,159
2014,Alaska,Indiana,183
2014,Alaska,Iowa,123
2014,Alaska,Kansas,380
2014,Alaska,Kentucky,917
2014,Alaska,Louisiana,844
2014,Alaska,Maine,131
2014,Alaska,Maryland,300
2014,Alaska,Massachusetts,314
2014,Alaska,Michigan,140
2014,Alaska,Minnesota,406
2014,Alaska,Mississippi,423
2014,Alaska,Missouri,1706
2014,Alaska,Montana,637
2014,Alaska,Nebraska,173
2014,Alaska,Nevada,160
2014,Alaska,New Hampshire,141
2014,Alaska,New Jersey,145
2014,Alaska,New Mexico,217
2014,Alaska,New York,168
2014,Alaska,North Carolina,802
2014,Alaska,North Dakota,144
2014,Alaska,Ohio,568
2014,Alaska,Oklahoma,150
2014,Alaska,Oregon,2034
2014,Alaska,Pennsylvania,567
2014,Alaska,Rhode Island,78
2014,Alaska,South Carolina,910
2014,Alaska,South Dakota,157
2014,Alaska,Tennessee,355
2014,Alaska,Texas,4549
2014,Alaska,Utah,442
2014,Alaska,Vermont,115
2014,Alaska,Virginia,684
2014,Alaska,Washington,4841
2014,Alaska,West Virginia,0
2014,Alaska,Wisconsin,459
2014,Alaska,Wyoming,107
2014,Arizona,Alabama,785
2014,Arizona,Alaska,3140
2014,Arizona,Arizona,N/A
2014,Arizona,Arkansas,1180
2014,Arizona,California,57446
2014,Arizona,Colorado,9663
2014,Arizona,Connecticut,458
2014,Arizona,Delaware,500
2014,Arizona,District of Columbia ,185
2014,Arizona,Florida,9149
2014,Arizona,Georgia,4393
2014,Arizona,Hawaii,1911
2014,Arizona,Idaho,3825
2014,Arizona,Illinois,11858
2014,Arizona,Indiana,2431
2014,Arizona,Iowa,2739
2014,Arizona,Kansas,2355
2014,Arizona,Kentucky,2366
2014,Arizona,Louisiana,1454
2014,Arizona,Maine,762
2014,Arizona,Maryland,2206
2014,Arizona,Massachusetts,2039
2014,Arizona,Michigan,9378
2014,Arizona,Minnesota,4541
