migration_year,current_state,prev_state,migration
2015,Alabama,Alabama,N/A
2015,Alabama,Alaska,767
2015,Alabama,Arizona,1865
2015,Alabama,Arkansas,2329
2015,Alabama,California,3397
2015,Alabama,Colorado,1927
2015,Alabama,Connecticut,894
2015,Alabama,Delaware,77
2015,Alabama,District of Columbia ,521
2015,Alabama,Florida,15755
2015,Alabama,Georgia,27433
2015,Alabama,Hawaii,399
2015,Alabama,Idaho,0
2015,Alabama,Illinois,2400
2015,Alabama,Indiana,1184
2015,Alabama,Iowa,478
2015,Alabama,Kansas,1277
2015,Alabama,Kentucky,1365
2015,Alabama,Louisiana,1566
2015,Alabama,Maine,97
2015,Alabama,Maryland,1435
2015,Alabama,Massachusetts,446
2015,Alabama,Michigan,2540
2015,Alabama,Minnesota,193
2015,Alabama,Mississippi,7442
2015,Alabama,Missouri,1174
2015,Alabama,Montana,120
2015,Alabama,Nebraska,339
2015,Alabama,Nevada,539
2015,Alabama,New Hampshire,166
2015,Alabama,New Jersey,193
2015,Alabama,New Mexico,773
2015,Alabama,New York,2061
2015,Alabama,North Carolina,3974
2015,Alabama,North Dakota,1162
2015,Alabama,Ohio,1513
2015,Alabama,Oklahoma,725
2015,Alabama,Oregon,593
2015,Alabama,Pennsylvania,2690
2015,Alabama,Rhode Island,43
2015,Alabama,South Carolina,1968
2015,Alabama,South Dakota,103
2015,Alabama,Tennessee,7206
2015,Alabama,Texas,6469
2015,Alabama,Utah,362
2015,Alabama,Vermont,173
2015,Alabama,Virginia,4772
2015,Alabama,Washington,871
2015,Alabama,West Virginia,445
2015,Alabama,Wisconsin,491
2015,Alabama,Wyoming,164
2015,Alaska,Alabama,279
2015,Alaska,Alaska,N/A
2015,Alaska,Arizona,658
2015,Alaska,Arkansas,73
2015,Alaska,California,3062
2015,Alaska,Colorado,1815
2015,Alaska,Connecticut,109
2015,Alaska,Delaware,0
2015,Alaska,District of Columbia ,0
2015,Alaska,Florida,1473
2015,Alaska,Georgia,1044
2015,Alaska,Hawaii,732
2015,Alaska,Idaho,544
2015,Alaska,Illinois,819
2015,Alaska,Indiana,138
2015,Alaska,Iowa,193
2015,Alaska,Kansas,434
2015,Alaska,Kentucky,238
2015,Alaska,Louisiana,210
2015,Alaska,Maine,17
2015,Alaska,Maryland,444
2015,Alaska,Massachusetts,449
2015,Alaska,Michigan,955
2015,Alaska,Minnesota,1173
2015,Alaska,Mississippi,0
2015,Alaska,Missouri,905
2015,Alaska,Montana,461
2015,Alaska,Nebraska,233
2015,Alaska,Nevada,2129
2015,Alaska,New Hampshire,338
2015,Alaska,New Jersey,0
2015,Alaska,New Mexico,766
2015,Alaska,New York,1028
2015,Alaska,North Carolina,2078
2015,Alaska,North Dakota,71
2015,Alaska,Ohio,408
2015,Alaska,Oklahoma,780
2015,Alaska,Oregon,1389
2015,Alaska,Pennsylvania,263
2015,Alaska,Rhode Island,0
2015,Alaska,South Carolina,873
2015,Alaska,South Dakota,312
2015,Alaska,Tennessee,133
2015,Alaska,Texas,2196
2015,Alaska,Utah,337
2015,Alaska,Vermont,53
2015,Alaska,Virginia,521
2015,Alaska,Washington,3988
2015,Alaska,West Virginia,0
2015,Alaska,Wisconsin,161
2015,Alaska,Wyoming,414
2015,Arizona,Alabama,607
2015,Arizona,Alaska,2519
2015,Arizona,Arizona,N/A
2015,Arizona,Arkansas,553
2015,Arizona,California,54646
2015,Arizona,Colorado,11039
2015,Arizona,Connecticut,2417
2015,Arizona,Delaware,927
2015,Arizona,District of Columbia ,330
2015,Arizona,Florida,7833
2015,Arizona,Georgia,3671
2015,Arizona,Hawaii,2069
2015,Arizona,Idaho,2835
2015,Arizona,Illinois,11017
2015,Arizona,Indiana,4087
2015,Arizona,Iowa,3963
2015,Arizona,Kansas,2625
2015,Arizona,Kentucky,3599
2015,Arizona,Louisiana,1801
2015,Arizona,Maine,780
2015,Arizona,Maryland,2105
2015,Arizona,Massachusetts,3030
2015,Arizona,Michigan,9069
2015,Arizona,Minnesota,8499
2015,Arizona,Mississippi,544
2015,Arizona,Missouri,4069
2015,Arizona,Montana,1798
2015,Arizona,Nebraska,986
2015,Arizona,Nevada,7153
2015,Arizona,New Hampshire,445
2015,Arizona,New Jersey,2782
2015,Arizona,New Mexico,8030
2015,Arizona,New York,5564
2015,Arizona,North Carolina,5323
2015,Arizona,North Dakota,1150
2015,Arizona,Ohio,5147
2015,Arizona,Oklahoma,3906
2015,Arizona,Oregon,7163
2015,Arizona,Pennsylvania,3910
2015,Arizona,Rhode Island,298
2015,Arizona,South Carolina,842
2015,Arizona,South Dakota,1582
2015,Arizona,Tennessee,3253
2015,Arizona,Texas,13025
2015,Arizona,Utah,10165
2015,Arizona,Vermont,406
2015,Arizona,Virginia,3801
2015,Arizona,Washington,14183
2015,Arizona,West Virginia,0
2015,Arizona,Wisconsin,5262
2015,Arizona,Wyoming,2473
2015,Arkansas,Alabama,956
2015,Arkansas,Alaska,205
2015,Arkansas,Arizona,1683
2015,Arkansas,Arkansas,N/A
2015,Arkansas,California,5075
2015,Arkansas,Colorado,2429
2015,Arkansas,Connecticut,0
2015,Arkansas,Delaware,79
2015,Arkansas,District of Columbia ,196
2015,Arkansas,Florida,2641
2015,Arkansas,Georgia,2407
2015,Arkansas,Hawaii,45
2015,Arkansas,Idaho,214
2015,Arkansas,Illinois,2999
2015,Arkansas,Indiana,784
2015,Arkansas,Iowa,589
2015,Arkansas,Kansas,2036
2015,Arkansas,Kentucky,497
2015,Arkansas,Louisiana,3601
2015,Arkansas,Maine,0
2015,Arkansas,Maryland,70
2015,Arkansas,Massachusetts,521
2015,Arkansas,Michigan,1922
2015,Arkansas,Minnesota,114
