migration_year,current_state,prev_state,migration
2018,Alabama,Alabama,N/A
2018,Alabama,Alaska,419
2018,Alabama,Arizona,1915
2018,Alabama,Arkansas,1051
2018,Alabama,California,2659
2018,Alabama,Colorado,1672
2018,Alabama,Connecticut,747
2018,Alabama,Delaware,826
2018,Alabama,District of Columbia ,0
2018,Alabama,Florida,14298
2018,Alabama,Georgia,18433
2018,Alabama,Hawaii,627
2018,Alabama,Idaho,0
2018,Alabama,Illinois,3310
2018,Alabama,Indiana,1874
2018,Alabama,Iowa,704
2018,Alabama,Kansas,357
2018,Alabama,Kentucky,4216
2018,Alabama,Louisiana,2837
2018,Alabama,Maine,0
2018,Alabama,Maryland,493
2018,Alabama,Massachusetts,445
2018,Alabama,Michigan,2231
2018,Alabama,Minnesota,915
2018,Alabama,Mississippi,7653
2018,Alabama,Missouri,1851
2018,Alabama,Montana,76
2018,Alabama,Nebraska,756
2018,Alabama,Nevada,97
2018,Alabama,New Hampshire,0
2018,Alabama,New Jersey,1213
2018,Alabama,New Mexico,58
2018,Alabama,New York,3226
2018,Alabama,North Carolina,2224
2018,Alabama,North Dakota,0
2018,Alabama,Ohio,1299
2018,Alabama,Oklahoma,931
2018,Alabama,Oregon,0
2018,Alabama,Pennsylvania,1771
2018,Alabama,Rhode Island,0
2018,Alabama,South Carolina,1218
2018,Alabama,South Dakota,281
2018,Alabama,Tennessee,12228
2018,Alabama,Texas,5719
2018,Alabama,Utah,79
2018,Alabama,Vermont,0
2018,Alabama,Virginia,5221
2018,Alabama,Washington,2125
2018,Alabama,West Virginia,176
2018,Alabama,Wisconsin,996
2018,Alabama,Wyoming,74
2018,Alaska,Alabama,518
2018,Alaska,Alaska,N/A
2018,Alaska,Arizona,910
2018,Alaska,Arkansas,722
2018,Alaska,California,3455
2018,Alaska,Colorado,1847
2018,Alaska,Connecticut,0
2018,Alaska,Delaware,0
2018,Alaska,District of Columbia ,74
2018,Alaska,Florida,1172
2018,Alaska,Georgia,565
2018,Alaska,Hawaii,1029
2018,Alaska,Idaho,497
2018,Alaska,Illinois,1024
2018,Alaska,Indiana,165
2018,Alaska,Iowa,26
2018,Alaska,Kansas,800
2018,Alaska,Kentucky,162
2018,Alaska,Louisiana,83
2018,Alaska,Maine,16
2018,Alaska,Maryland,548
2018,Alaska,Massachusetts,170
2018,Alaska,Michigan,791
2018,Alaska,Minnesota,586
2018,Alaska,Mississippi,330
2018,Alaska,Missouri,938
2018,Alaska,Montana,534
2018,Alaska,Nebraska,413
2018,Alaska,Nevada,2013
2018,Alaska,New Hampshire,0
2018,Alaska,New Jersey,335
2018,Alaska,New Mexico,489
2018,Alaska,New York,380
2018,Alaska,North Carolina,1676
2018,Alaska,North Dakota,210
2018,Alaska,Ohio,176
2018,Alaska,Oklahoma,184
2018,Alaska,Oregon,1896
2018,Alaska,Pennsylvania,111
2018,Alaska,Rhode Island,38
2018,Alaska,South Carolina,389
2018,Alaska,South Dakota,175
2018,Alaska,Tennessee,171
2018,Alaska,Texas,2322
2018,Alaska,Utah,410
2018,Alaska,Vermont,5
2018,Alaska,Virginia,654
2018,Alaska,Washington,2558
2018,Alaska,West Virginia,0
2018,Alaska,Wisconsin,340
2018,Alaska,Wyoming,192
2018,Arizona,Alabama,2801
2018,Arizona,Alaska,2743
2018,Arizona,Arizona,N/A
2018,Arizona,Arkansas,1487
2018,Arizona,California,68516
2018,Arizona,Colorado,11517
2018,Arizona,Connecticut,503
2018,Arizona,Delaware,49
2018,Arizona,District of Columbia ,26
2018,Arizona,Florida,6701
2018,Arizona,Georgia,3149
2018,Arizona,Hawaii,591
2018,Arizona,Idaho,2733
2018,Arizona,Illinois,13247
2018,Arizona,Indiana,2555
2018,Arizona,Iowa,3049
2018,Arizona,Kansas,3802
2018,Arizona,Kentucky,1265
2018,Arizona,Louisiana,1416
2018,Arizona,Maine,353
2018,Arizona,Maryland,2955
2018,Arizona,Massachusetts,1299
2018,Arizona,Michigan,4477
